epoch,train_loss,train_ic,val_loss,val_ic,lr
1,0.6855201174424389,0.05368248924730331,1.027118690079078,0.08605880178220104,0.001
2,0.6485812089105291,0.09877360444955939,1.019226401578635,0.0906676304875873,0.001
3,0.6134554841152327,0.1399791932144151,0.8999477459583431,0.22133714123992831,0.001
4,0.42898605781512,0.31024987516030084,1.0063871648162603,0.36775787244550884,0.001
5,0.2668503701217531,0.43375475616670967,0.992286934517324,0.4447586927562952,0.001
6,0.19864457857421064,0.48715208429755186,0.6124543566256762,0.510936607606709,0.001
7,0.12994185354061952,0.5312870499186628,0.9574754345230758,0.4669903793837875,0.001
8,0.11264735131751834,0.5404635328711487,0.3863909309729934,0.5720702642574906,0.001
9,0.08977620843357927,0.5534970769732017,0.38685132935643196,0.5657159411348403,0.001
10,0.09064069789225661,0.5566201711029518,0.1016507581807673,0.6803825395181775,0.001
11,0.05922559326089273,0.5797352708700135,0.2614335345569998,0.5955719603225589,0.001
12,0.07735893470565165,0.5667856285187203,0.4958670027554035,0.5757398917339742,0.001
13,0.035617355286605715,0.5912935761954841,0.5546533353626728,0.6487586591392756,0.001
14,0.03745905931775025,0.5904417540144733,0.07165017630904913,0.7000777935609221,0.001
15,0.01695024949593807,0.6031899833538401,0.08904414437711239,0.6726537593640387,0.001
16,0.023641275139305536,0.5987730832315805,0.15936731453984976,0.6271802634000778,0.001
17,0.010243625798093991,0.6081246169298653,0.1815699734725058,0.696986485272646,0.001
18,0.024204707579819237,0.5973341064894293,0.34821374155581,0.5837257895618677,0.001
19,-0.004808045923709869,0.6212039447910204,0.24636014876887202,0.5902059879153967,0.001
20,0.005330131396533936,0.6130109537304855,0.0033212939742952585,0.7178240763023496,0.001
21,-0.0007572592947426743,0.616116442783611,0.14012962905690074,0.6701034726575017,0.001
22,0.0037766120682551168,0.6155515547812455,0.08511766092851758,0.6719505516812205,0.001
23,-0.02426220300629383,0.6309507870533335,0.2824040367268026,0.5638576545752585,0.001
24,-0.021756495077778975,0.6296452916278614,0.7188328430056572,0.5758872553706169,0.001
25,-0.020920757526957143,0.6331037233664295,0.5646323263645172,0.5619572577998042,0.001
26,-0.014419138959542973,0.6236728887389026,0.5691084992140532,0.5008313420694321,0.0005
27,-0.06680899612077577,0.6603429065210613,0.02199433301575482,0.6981360036879778,0.0005
28,-0.07725685764485457,0.6652850385491303,0.6413680464029312,0.5107513945549726,0.0005
29,-0.07587482310890213,0.6675736004208016,0.4808584679849446,0.5230923944618553,0.0005
30,-0.08122073636045606,0.6687503563841497,0.36645643319934607,0.6483103670179844,0.0005
31,-0.08095489119685541,0.667320001078403,0.4215338188223541,0.5205070276279002,0.0005
32,-0.08821920569487444,0.6775799107363843,0.5682027311995625,0.4858602334279567,0.00025
33,-0.11156455621005983,0.6946024744529423,0.1988553199917078,0.6062394557520747,0.00025
34,-0.12034567820978916,0.7026586954987893,0.24085957370698452,0.606725643388927,0.00025
35,-0.12126281710825568,0.7002487106351402,0.27146661281585693,0.653485064394772,0.00025
36,-0.11900904721866443,0.6976269438980133,0.6822404535487294,0.4851384265348315,0.00025
37,-0.12415248595588789,0.7022954843879685,0.3596852421760559,0.6322157625108957,0.00025
38,-0.12255820015988012,0.7024497291234535,0.324747902341187,0.5481998098548502,0.000125
39,-0.1360156864045173,0.7116139641427618,0.8752195760607719,0.4639675060752779,0.000125
40,-0.13794861786712811,0.7138640363150695,0.7707562455907464,0.4772351090796292,0.000125
41,-0.13951038580945158,0.7132873833179474,0.6000366732478142,0.48688938142731786,0.000125
42,-0.14155520135023464,0.7161591225487041,0.46836447063833475,0.5353889891412109,0.000125
43,-0.14057916825211894,0.7120256254992147,0.3536900784820318,0.6114425552077591,0.000125
44,-0.14709462595032893,0.7197171179797706,0.17574760969728231,0.6838842178694904,6.25e-05
45,-0.1486764764339905,0.7188043574413915,0.11611609859392047,0.7087865322828293,6.25e-05
46,-0.14930963932763874,0.7206453851123494,0.16000779950991273,0.6819821605458856,6.25e-05
47,-0.15161065604743057,0.7195689211210866,0.32570254476740956,0.5547564425505698,6.25e-05
48,-0.15037017755621063,0.7200254438899634,0.8147559715434909,0.4656171762617305,6.25e-05
49,-0.1499575935597495,0.7203807000100143,0.6742199878208339,0.48964987066574395,6.25e-05
50,-0.15415991514217198,0.7243420697572663,0.4094886532984674,0.5426882752217352,3.125e-05
